Date,Véhicule,Immatriculation,Type,Distance Jour (km),Carburant Jour (L),Arrêts Totaux,Excès Vitesse,Freinages Brusques,Score Moyen,Nb Trajets,Conso Jour (L/100km)
2025-12-09,SOC-003,DK-5264-JU,Camion Ciment,98.22,26.64,2,3,0,62.0,1,27.12
2025-12-09,SOC-005,DK-6497-PB,Véhicule Léger,223.83,21.04,5,0,15,63.0,2,9.4
2025-12-09,SOC-007,DK-8504-WU,Camion Ciment,179.14,52.01,8,0,9,72.0,2,29.03
2025-12-09,SOC-010,DK-3338-CE,Chariot Élévateur,439.77,72.46,10,5,3,76.0,5,16.48
2025-12-09,SOC-011,DK-7433-NO,Véhicule Léger,505.54,50.61,17,5,6,82.0,5,10.01
2025-12-09,SOC-012,DK-3068-NW,Camion Benne,316.69,88.62,9,2,6,87.0,3,27.98
2025-12-09,SOC-014,DK-6710-OT,Camion Benne,217.66,64.66,1,0,11,70.0,2,29.71
2025-12-09,SOC-015,DK-3180-MJ,Camion Benne,108.51,33.13,5,0,0,91.0,1,30.53
2025-12-10,SOC-001,DK-2701-OW,Chariot Élévateur,78.4,14.0,5,0,2,78.0,1,17.86
2025-12-10,SOC-002,DK-4406-ZL,Véhicule Léger,150.54,16.68,1,5,0,76.0,2,11.08
2025-12-10,SOC-003,DK-5264-JU,Camion Ciment,138.37,39.52,4,0,0,61.0,1,28.56
2025-12-10,SOC-004,DK-7162-IQ,Camion Ciment,482.56,143.5,12,1,16,84.0,5,29.74
2025-12-10,SOC-005,DK-6497-PB,Véhicule Léger,57.96,5.44,4,0,2,85.0,1,9.39
2025-12-10,SOC-007,DK-8504-WU,Camion Ciment,467.79,136.29,16,0,2,82.0,5,29.13
2025-12-10,SOC-009,DK-9129-DE,Camion Benne,364.65,108.25,4,9,0,89.0,5,29.69
2025-12-10,SOC-010,DK-3338-CE,Chariot Élévateur,354.9,58.17,10,7,6,71.0,3,16.39
2025-12-10,SOC-012,DK-3068-NW,Camion Benne,276.58,86.18,2,0,0,96.0,2,31.16
2025-12-10,SOC-014,DK-6710-OT,Camion Benne,201.33,56.72,2,0,12,90.0,2,28.17
2025-12-11,SOC-001,DK-2701-OW,Chariot Élévateur,110.87,19.63,3,0,0,71.0,1,17.71
2025-12-11,SOC-003,DK-5264-JU,Camion Ciment,301.67,89.79,5,4,12,82.0,4,29.76
2025-12-11,SOC-004,DK-7162-IQ,Camion Ciment,81.05,26.21,9,0,2,86.0,2,32.34
2025-12-11,SOC-008,DK-8462-JA,Véhicule Léger,195.38,20.18,5,4,5,81.0,2,10.33
2025-12-11,SOC-009,DK-9129-DE,Camion Benne,126.42,40.34,5,0,0,91.0,1,31.91
2025-12-11,SOC-010,DK-3338-CE,Chariot Élévateur,389.16,66.22,9,3,0,81.0,4,17.02
2025-12-11,SOC-011,DK-7433-NO,Véhicule Léger,298.71,28.3,7,4,0,74.0,3,9.47
2025-12-11,SOC-012,DK-3068-NW,Camion Benne,34.67,9.0,4,0,0,85.0,1,25.96
2025-12-11,SOC-013,DK-8777-SQ,Chariot Élévateur,155.24,28.86,7,6,5,74.0,3,18.59
2025-12-11,SOC-015,DK-3180-MJ,Camion Benne,258.0,71.1,9,0,5,86.0,3,27.56
2025-12-12,SOC-002,DK-4406-ZL,Véhicule Léger,217.51,21.93,1,5,10,91.0,2,10.08
2025-12-12,SOC-003,DK-5264-JU,Camion Ciment,358.46,109.97,11,4,0,86.0,4,30.68
2025-12-12,SOC-004,DK-7162-IQ,Camion Ciment,164.91,49.4,7,1,0,76.0,3,29.96
2025-12-12,SOC-007,DK-8504-WU,Camion Ciment,173.03,52.25,5,0,5,82.0,3,30.2
2025-12-12,SOC-009,DK-9129-DE,Camion Benne,275.37,77.57,10,0,17,80.0,3,28.17
2025-12-12,SOC-010,DK-3338-CE,Chariot Élévateur,13.75,2.6,0,0,4,91.0,1,18.91
2025-12-12,SOC-012,DK-3068-NW,Camion Benne,194.85,61.99,9,0,0,91.0,2,31.81
2025-12-12,SOC-014,DK-6710-OT,Camion Benne,150.91,47.54,4,0,0,77.0,2,31.5
2025-12-13,SOC-001,DK-2701-OW,Chariot Élévateur,169.67,32.5,5,2,5,84.0,3,19.15
2025-12-13,SOC-002,DK-4406-ZL,Véhicule Léger,299.03,30.35,8,1,5,84.0,4,10.15
2025-12-13,SOC-003,DK-5264-JU,Camion Ciment,346.94,114.46,7,3,8,65.0,3,32.99
2025-12-13,SOC-004,DK-7162-IQ,Camion Ciment,410.22,117.54,11,5,6,88.0,4,28.65
2025-12-13,SOC-005,DK-6497-PB,Véhicule Léger,45.5,4.89,2,0,1,85.0,1,10.75
2025-12-13,SOC-006,DK-2604-SY,Chariot Élévateur,319.44,58.43,11,8,10,77.0,5,18.29
2025-12-13,SOC-007,DK-8504-WU,Camion Ciment,250.73,73.21,12,4,8,78.0,4,29.2
2025-12-13,SOC-008,DK-8462-JA,Véhicule Léger,243.96,23.98,7,0,8,85.0,2,9.83
2025-12-13,SOC-009,DK-9129-DE,Camion Benne,124.82,41.51,10,3,0,87.0,3,33.26
2025-12-13,SOC-010,DK-3338-CE,Chariot Élévateur,80.06,12.18,2,0,7,95.0,1,15.21
2025-12-13,SOC-012,DK-3068-NW,Camion Benne,115.87,31.77,0,0,0,79.0,1,27.42
2025-12-13,SOC-013,DK-8777-SQ,Chariot Élévateur,258.99,45.9,8,3,18,82.0,3,17.72
2025-12-13,SOC-014,DK-6710-OT,Camion Benne,55.96,15.0,5,0,0,76.0,1,26.8
2025-12-13,SOC-015,DK-3180-MJ,Camion Benne,269.52,85.03,6,1,6,74.0,3,31.55
2025-12-14,SOC-001,DK-2701-OW,Chariot Élévateur,215.81,35.45,2,0,7,72.0,2,16.43
2025-12-14,SOC-002,DK-4406-ZL,Véhicule Léger,305.75,30.0,7,0,14,84.0,4,9.81
2025-12-14,SOC-003,DK-5264-JU,Camion Ciment,58.12,16.8,6,2,8,83.0,3,28.91
2025-12-14,SOC-004,DK-7162-IQ,Camion Ciment,289.54,90.37,8,2,8,80.0,4,31.21
2025-12-14,SOC-005,DK-6497-PB,Véhicule Léger,214.9,22.4,15,2,12,85.0,5,10.42
2025-12-14,SOC-008,DK-8462-JA,Véhicule Léger,359.74,32.81,11,6,1,78.0,5,9.12
2025-12-14,SOC-009,DK-9129-DE,Camion Benne,286.6,79.48,11,5,9,87.0,4,27.73
2025-12-14,SOC-010,DK-3338-CE,Chariot Élévateur,317.1,54.87,9,6,0,80.0,4,17.3
2025-12-14,SOC-012,DK-3068-NW,Camion Benne,343.38,106.93,7,6,8,79.0,3,31.14
2025-12-14,SOC-013,DK-8777-SQ,Chariot Élévateur,315.89,57.42,14,4,13,76.0,5,18.18
2025-12-14,SOC-015,DK-3180-MJ,Camion Benne,125.79,37.33,6,0,3,72.0,2,29.68
2025-12-15,SOC-001,DK-2701-OW,Chariot Élévateur,417.52,74.13,17,2,5,82.0,5,17.75
2025-12-15,SOC-002,DK-4406-ZL,Véhicule Léger,309.86,30.34,12,2,18,75.0,5,9.79
2025-12-15,SOC-003,DK-5264-JU,Camion Ciment,272.11,77.24,10,3,5,82.0,3,28.39
2025-12-15,SOC-005,DK-6497-PB,Véhicule Léger,230.39,26.25,7,0,0,79.0,2,11.39
2025-12-15,SOC-006,DK-2604-SY,Chariot Élévateur,11.6,1.83,3,0,8,65.0,1,15.78
2025-12-15,SOC-007,DK-8504-WU,Camion Ciment,30.73,9.88,0,0,0,60.0,1,32.15
2025-12-15,SOC-009,DK-9129-DE,Camion Benne,423.15,124.47,16,5,0,75.0,5,29.42
2025-12-15,SOC-011,DK-7433-NO,Véhicule Léger,344.26,37.31,15,0,8,75.0,4,10.84
2025-12-15,SOC-013,DK-8777-SQ,Chariot Élévateur,401.63,70.87,12,8,0,85.0,5,17.65
2025-12-15,SOC-015,DK-3180-MJ,Camion Benne,128.98,43.12,5,3,6,86.0,2,33.43
2025-12-16,SOC-001,DK-2701-OW,Chariot Élévateur,398.68,68.27,11,2,7,82.0,4,17.12
2025-12-16,SOC-002,DK-4406-ZL,Véhicule Léger,351.18,39.69,8,0,14,71.0,3,11.3
2025-12-16,SOC-003,DK-5264-JU,Camion Ciment,233.87,68.78,11,5,0,84.0,3,29.41
2025-12-16,SOC-004,DK-7162-IQ,Camion Ciment,159.46,51.72,2,0,3,71.0,2,32.43
2025-12-16,SOC-005,DK-6497-PB,Véhicule Léger,225.18,21.07,8,0,11,77.0,3,9.36
2025-12-16,SOC-006,DK-2604-SY,Chariot Élévateur,57.98,11.17,1,1,2,95.0,1,19.27
2025-12-16,SOC-009,DK-9129-DE,Camion Benne,50.79,13.2,5,0,0,70.0,1,25.99
2025-12-16,SOC-011,DK-7433-NO,Véhicule Léger,281.39,30.01,6,1,10,78.0,3,10.66
2025-12-16,SOC-012,DK-3068-NW,Camion Benne,363.1,105.26,9,10,16,74.0,5,28.99
2025-12-16,SOC-013,DK-8777-SQ,Chariot Élévateur,210.54,35.43,9,0,15,81.0,4,16.83
2025-12-16,SOC-014,DK-6710-OT,Camion Benne,414.36,123.05,15,0,15,83.0,5,29.7
2025-12-16,SOC-015,DK-3180-MJ,Camion Benne,93.74,30.38,5,0,2,75.0,1,32.41
2025-12-17,SOC-004,DK-7162-IQ,Camion Ciment,89.07,25.11,9,2,0,78.0,2,28.19
2025-12-17,SOC-005,DK-6497-PB,Véhicule Léger,449.67,46.79,8,0,2,83.0,4,10.41
2025-12-17,SOC-007,DK-8504-WU,Camion Ciment,277.74,80.77,4,4,0,84.0,4,29.08
2025-12-17,SOC-008,DK-8462-JA,Véhicule Léger,426.41,42.35,8,3,4,88.0,5,9.93
2025-12-17,SOC-009,DK-9129-DE,Camion Benne,52.08,13.16,5,0,8,77.0,1,25.27
2025-12-17,SOC-010,DK-3338-CE,Chariot Élévateur,387.09,65.9,8,6,9,84.0,5,17.02
2025-12-17,SOC-012,DK-3068-NW,Camion Benne,151.27,45.67,6,0,0,82.0,2,30.19
2025-12-17,SOC-013,DK-8777-SQ,Chariot Élévateur,133.61,20.51,5,0,1,88.0,2,15.35
2025-12-17,SOC-014,DK-6710-OT,Camion Benne,253.41,79.57,12,0,0,77.0,3,31.4
2025-12-17,SOC-015,DK-3180-MJ,Camion Benne,136.99,42.1,4,0,6,66.0,2,30.73
2025-12-18,SOC-002,DK-4406-ZL,Véhicule Léger,427.76,44.09,16,4,4,81.0,5,10.31
2025-12-18,SOC-003,DK-5264-JU,Camion Ciment,268.81,72.59,13,4,7,81.0,4,27.0
2025-12-18,SOC-007,DK-8504-WU,Camion Ciment,163.02,51.47,10,3,7,79.0,3,31.57
2025-12-18,SOC-008,DK-8462-JA,Véhicule Léger,220.92,21.19,11,0,6,75.0,3,9.59
2025-12-18,SOC-011,DK-7433-NO,Véhicule Léger,421.15,46.09,6,3,2,69.0,3,10.94
2025-12-18,SOC-012,DK-3068-NW,Camion Benne,320.53,95.54,16,0,3,80.0,5,29.81
2025-12-18,SOC-013,DK-8777-SQ,Chariot Élévateur,210.83,32.96,7,5,0,80.0,2,15.63
2025-12-18,SOC-014,DK-6710-OT,Camion Benne,145.19,44.17,3,4,7,88.0,2,30.42
2025-12-18,SOC-015,DK-3180-MJ,Camion Benne,405.83,123.09,6,4,5,73.0,4,30.33
2025-12-19,SOC-001,DK-2701-OW,Chariot Élévateur,151.58,29.36,3,2,0,82.0,3,19.37
2025-12-19,SOC-002,DK-4406-ZL,Véhicule Léger,76.32,7.44,5,0,0,76.0,1,9.75
2025-12-19,SOC-003,DK-5264-JU,Camion Ciment,235.43,66.19,9,4,12,77.0,4,28.11
2025-12-19,SOC-004,DK-7162-IQ,Camion Ciment,376.61,121.09,13,9,9,82.0,5,32.15
2025-12-19,SOC-005,DK-6497-PB,Véhicule Léger,136.62,13.23,1,0,0,62.0,1,9.68
2025-12-19,SOC-007,DK-8504-WU,Camion Ciment,122.09,41.55,2,1,14,68.0,2,34.03
2025-12-19,SOC-009,DK-9129-DE,Camion Benne,235.74,68.77,19,5,15,84.0,5,29.17
2025-12-19,SOC-010,DK-3338-CE,Chariot Élévateur,107.27,20.37,9,0,0,78.0,3,18.99
2025-12-19,SOC-011,DK-7433-NO,Véhicule Léger,221.04,21.47,3,5,5,90.0,2,9.71
2025-12-19,SOC-012,DK-3068-NW,Camion Benne,416.18,124.82,2,7,5,77.0,5,29.99
2025-12-19,SOC-014,DK-6710-OT,Camion Benne,78.21,21.56,1,0,0,73.0,1,27.57
2025-12-19,SOC-015,DK-3180-MJ,Camion Benne,135.83,40.37,9,7,0,78.0,3,29.72
2025-12-20,SOC-001,DK-2701-OW,Chariot Élévateur,324.15,55.38,10,0,6,70.0,4,17.08
2025-12-20,SOC-002,DK-4406-ZL,Véhicule Léger,263.92,24.82,2,0,8,77.0,3,9.4
2025-12-20,SOC-003,DK-5264-JU,Camion Ciment,324.06,98.54,9,9,14,81.0,4,30.41
2025-12-20,SOC-004,DK-7162-IQ,Camion Ciment,418.31,132.52,9,6,0,78.0,4,31.68
2025-12-20,SOC-008,DK-8462-JA,Véhicule Léger,144.75,15.49,3,0,5,95.0,1,10.7
2025-12-20,SOC-009,DK-9129-DE,Camion Benne,240.62,69.75,18,7,2,83.0,5,28.99
2025-12-20,SOC-010,DK-3338-CE,Chariot Élévateur,119.85,22.87,3,4,0,78.0,1,19.08
2025-12-20,SOC-011,DK-7433-NO,Véhicule Léger,238.71,23.99,2,0,0,72.0,2,10.05
2025-12-20,SOC-012,DK-3068-NW,Camion Benne,322.93,89.55,6,0,0,73.0,3,27.73
2025-12-20,SOC-013,DK-8777-SQ,Chariot Élévateur,83.59,15.04,5,1,13,86.0,2,17.99
2025-12-20,SOC-014,DK-6710-OT,Camion Benne,448.0,129.87,10,5,14,78.0,4,28.99
2025-12-20,SOC-015,DK-3180-MJ,Camion Benne,333.98,99.98,15,0,10,77.0,5,29.94
2025-12-21,SOC-001,DK-2701-OW,Chariot Élévateur,148.55,27.26,4,0,0,80.0,1,18.35
2025-12-21,SOC-002,DK-4406-ZL,Véhicule Léger,127.37,13.62,2,3,0,87.0,1,10.69
2025-12-21,SOC-003,DK-5264-JU,Camion Ciment,363.16,103.24,15,0,12,82.0,5,28.43
2025-12-21,SOC-005,DK-6497-PB,Véhicule Léger,126.14,10.56,1,0,8,89.0,1,8.37
2025-12-21,SOC-007,DK-8504-WU,Camion Ciment,252.4,71.86,9,0,1,89.0,3,28.47
2025-12-21,SOC-009,DK-9129-DE,Camion Benne,53.09,13.76,3,0,0,95.0,1,25.92
2025-12-21,SOC-010,DK-3338-CE,Chariot Élévateur,277.99,49.38,13,0,3,77.0,4,17.76
2025-12-21,SOC-011,DK-7433-NO,Véhicule Léger,154.85,17.81,7,0,2,79.0,2,11.5
2025-12-21,SOC-012,DK-3068-NW,Camion Benne,130.52,40.34,11,0,1,78.0,3,30.91
2025-12-21,SOC-013,DK-8777-SQ,Chariot Élévateur,462.03,83.57,9,0,6,79.0,5,18.09
2025-12-21,SOC-014,DK-6710-OT,Camion Benne,294.05,89.37,10,1,0,80.0,4,30.39
2025-12-21,SOC-015,DK-3180-MJ,Camion Benne,294.31,93.62,7,0,12,85.0,3,31.81
2025-12-22,SOC-002,DK-4406-ZL,Véhicule Léger,282.76,25.55,8,0,19,92.0,4,9.04
2025-12-22,SOC-003,DK-5264-JU,Camion Ciment,205.11,59.75,7,2,10,78.0,4,29.13
2025-12-22,SOC-004,DK-7162-IQ,Camion Ciment,79.02,24.5,2,0,0,84.0,2,31.0
2025-12-22,SOC-005,DK-6497-PB,Véhicule Léger,109.74,12.55,5,0,0,82.0,1,11.44
2025-12-22,SOC-006,DK-2604-SY,Chariot Élévateur,393.63,67.25,15,0,10,82.0,5,17.08
2025-12-22,SOC-009,DK-9129-DE,Camion Benne,102.67,30.17,3,4,0,66.0,1,29.39
2025-12-22,SOC-010,DK-3338-CE,Chariot Élévateur,242.42,39.76,7,0,0,74.0,2,16.4
2025-12-22,SOC-011,DK-7433-NO,Véhicule Léger,36.8,3.53,1,3,0,62.0,1,9.59
2025-12-22,SOC-012,DK-3068-NW,Camion Benne,257.89,82.08,7,0,0,84.0,4,31.83
2025-12-22,SOC-013,DK-8777-SQ,Chariot Élévateur,224.12,39.37,5,5,4,67.0,3,17.57
2025-12-22,SOC-014,DK-6710-OT,Camion Benne,13.85,4.16,4,0,0,71.0,1,30.04
2025-12-22,SOC-015,DK-3180-MJ,Camion Benne,237.71,69.29,6,3,0,77.0,3,29.15
2025-12-23,SOC-001,DK-2701-OW,Chariot Élévateur,156.2,26.95,4,0,8,86.0,2,17.25
2025-12-23,SOC-002,DK-4406-ZL,Véhicule Léger,322.69,32.34,7,2,0,84.0,3,10.02
2025-12-23,SOC-007,DK-8504-WU,Camion Ciment,426.57,135.65,6,0,14,84.0,4,31.8
2025-12-23,SOC-008,DK-8462-JA,Véhicule Léger,267.52,25.2,4,0,3,70.0,2,9.42
2025-12-23,SOC-009,DK-9129-DE,Camion Benne,249.45,69.94,8,4,6,72.0,3,28.04
2025-12-23,SOC-012,DK-3068-NW,Camion Benne,49.45,15.56,5,0,0,94.0,1,31.47
2025-12-23,SOC-013,DK-8777-SQ,Chariot Élévateur,89.94,15.75,5,0,0,74.0,2,17.51
2025-12-23,SOC-015,DK-3180-MJ,Camion Benne,488.3,141.16,11,0,9,76.0,5,28.91
2025-12-24,SOC-001,DK-2701-OW,Chariot Élévateur,349.9,57.53,11,0,7,75.0,4,16.44
2025-12-24,SOC-002,DK-4406-ZL,Véhicule Léger,391.25,40.7,12,0,7,73.0,5,10.4
2025-12-24,SOC-005,DK-6497-PB,Véhicule Léger,336.72,33.32,14,3,0,82.0,4,9.9
2025-12-24,SOC-006,DK-2604-SY,Chariot Élévateur,409.57,72.19,8,0,20,81.0,5,17.63
2025-12-24,SOC-008,DK-8462-JA,Véhicule Léger,42.46,4.83,2,0,0,85.0,2,11.38
2025-12-24,SOC-009,DK-9129-DE,Camion Benne,360.21,106.49,9,2,6,77.0,5,29.56
2025-12-24,SOC-010,DK-3338-CE,Chariot Élévateur,211.12,37.78,2,0,6,68.0,2,17.9
2025-12-24,SOC-011,DK-7433-NO,Véhicule Léger,74.36,7.2,5,6,5,80.0,2,9.68
2025-12-24,SOC-012,DK-3068-NW,Camion Benne,238.38,66.03,12,5,7,73.0,4,27.7
2025-12-24,SOC-013,DK-8777-SQ,Chariot Élévateur,266.12,42.4,5,0,8,80.0,3,15.93
2025-12-24,SOC-014,DK-6710-OT,Camion Benne,39.69,13.4,3,0,4,92.0,1,33.76
2025-12-24,SOC-015,DK-3180-MJ,Camion Benne,313.08,102.84,8,0,4,83.0,3,32.85
2025-12-25,SOC-001,DK-2701-OW,Chariot Élévateur,102.62,16.23,5,0,2,78.0,2,15.82
2025-12-25,SOC-002,DK-4406-ZL,Véhicule Léger,221.14,22.9,11,0,9,82.0,3,10.36
2025-12-25,SOC-006,DK-2604-SY,Chariot Élévateur,264.12,44.11,13,3,7,72.0,4,16.7
2025-12-25,SOC-007,DK-8504-WU,Camion Ciment,215.32,67.51,3,0,0,76.0,2,31.35
2025-12-25,SOC-008,DK-8462-JA,Véhicule Léger,201.02,19.35,9,3,0,78.0,4,9.63
2025-12-25,SOC-009,DK-9129-DE,Camion Benne,425.35,135.39,11,1,5,81.0,5,31.83
2025-12-25,SOC-010,DK-3338-CE,Chariot Élévateur,57.33,10.37,6,5,3,79.0,3,18.09
2025-12-25,SOC-011,DK-7433-NO,Véhicule Léger,224.09,25.1,3,10,2,82.0,2,11.2
2025-12-25,SOC-012,DK-3068-NW,Camion Benne,420.83,125.45,11,0,6,82.0,5,29.81
2025-12-25,SOC-013,DK-8777-SQ,Chariot Élévateur,171.13,27.13,0,3,4,66.0,2,15.85
2025-12-25,SOC-014,DK-6710-OT,Camion Benne,132.37,36.31,2,0,0,70.0,2,27.43
2025-12-25,SOC-015,DK-3180-MJ,Camion Benne,127.75,37.13,6,0,3,78.0,2,29.06
2025-12-26,SOC-001,DK-2701-OW,Chariot Élévateur,396.46,64.42,12,7,5,74.0,5,16.25
2025-12-26,SOC-002,DK-4406-ZL,Véhicule Léger,322.46,32.33,11,10,5,80.0,4,10.03
2025-12-26,SOC-003,DK-5264-JU,Camion Ciment,108.09,35.77,1,0,0,88.0,1,33.09
2025-12-26,SOC-004,DK-7162-IQ,Camion Ciment,210.74,59.79,10,6,2,85.0,3,28.37
2025-12-26,SOC-005,DK-6497-PB,Véhicule Léger,451.23,48.42,9,5,2,76.0,5,10.73
2025-12-26,SOC-007,DK-8504-WU,Camion Ciment,137.84,45.27,9,0,0,79.0,3,32.84
2025-12-26,SOC-009,DK-9129-DE,Camion Benne,67.7,23.36,3,0,1,96.0,1,34.51
2025-12-26,SOC-010,DK-3338-CE,Chariot Élévateur,136.9,21.47,1,0,1,70.0,2,15.68
2025-12-26,SOC-011,DK-7433-NO,Véhicule Léger,304.31,26.89,8,1,5,93.0,3,8.84
2025-12-26,SOC-012,DK-3068-NW,Camion Benne,213.1,68.74,5,3,12,76.0,4,32.26
2025-12-26,SOC-015,DK-3180-MJ,Camion Benne,117.16,33.66,9,10,8,86.0,4,28.73
2025-12-27,SOC-001,DK-2701-OW,Chariot Élévateur,102.0,16.91,7,0,7,75.0,3,16.58
2025-12-27,SOC-002,DK-4406-ZL,Véhicule Léger,387.52,40.07,16,4,8,76.0,4,10.34
2025-12-27,SOC-003,DK-5264-JU,Camion Ciment,151.33,45.53,9,0,7,74.0,2,30.09
2025-12-27,SOC-004,DK-7162-IQ,Camion Ciment,274.3,76.38,9,5,3,79.0,4,27.85
2025-12-27,SOC-005,DK-6497-PB,Véhicule Léger,475.04,46.37,5,10,3,77.0,5,9.76
2025-12-27,SOC-006,DK-2604-SY,Chariot Élévateur,203.9,35.69,8,2,0,81.0,4,17.5
2025-12-27,SOC-007,DK-8504-WU,Camion Ciment,211.89,62.78,8,0,4,82.0,2,29.63
2025-12-27,SOC-008,DK-8462-JA,Véhicule Léger,393.97,35.63,17,4,7,88.0,4,9.04
2025-12-27,SOC-011,DK-7433-NO,Véhicule Léger,47.71,3.95,1,0,0,91.0,1,8.28
2025-12-27,SOC-012,DK-3068-NW,Camion Benne,143.14,42.22,9,2,1,70.0,2,29.5
2025-12-27,SOC-013,DK-8777-SQ,Chariot Élévateur,324.98,57.39,3,3,3,76.0,3,17.66
2025-12-27,SOC-014,DK-6710-OT,Camion Benne,181.05,50.05,8,0,3,94.0,2,27.64
2025-12-27,SOC-015,DK-3180-MJ,Camion Benne,6.17,1.65,0,0,0,99.0,1,26.74
2025-12-28,SOC-001,DK-2701-OW,Chariot Élévateur,59.34,11.0,2,0,0,69.0,1,18.54
2025-12-28,SOC-002,DK-4406-ZL,Véhicule Léger,115.66,11.52,10,1,3,76.0,3,9.96
2025-12-28,SOC-003,DK-5264-JU,Camion Ciment,215.55,69.65,16,0,3,78.0,5,32.31
2025-12-28,SOC-005,DK-6497-PB,Véhicule Léger,197.67,18.1,22,9,9,78.0,5,9.16
2025-12-28,SOC-006,DK-2604-SY,Chariot Élévateur,203.77,37.83,5,1,0,73.0,2,18.57
2025-12-28,SOC-008,DK-8462-JA,Véhicule Léger,63.11,5.2,3,2,3,68.0,1,8.24
2025-12-28,SOC-009,DK-9129-DE,Camion Benne,35.67,11.49,5,3,0,71.0,2,32.21
2025-12-28,SOC-010,DK-3338-CE,Chariot Élévateur,182.57,34.23,4,4,5,88.0,2,18.75
2025-12-28,SOC-011,DK-7433-NO,Véhicule Léger,314.74,31.44,18,6,18,79.0,5,9.99
2025-12-28,SOC-012,DK-3068-NW,Camion Benne,221.12,69.59,8,5,8,88.0,4,31.47
2025-12-28,SOC-014,DK-6710-OT,Camion Benne,209.96,60.74,10,3,15,82.0,2,28.93
2025-12-29,SOC-001,DK-2701-OW,Chariot Élévateur,192.46,33.12,0,1,5,66.0,2,17.21
2025-12-29,SOC-002,DK-4406-ZL,Véhicule Léger,314.82,31.33,17,9,3,81.0,5,9.95
